SEASON_YEAR,PLAYER_ID,PLAYER_NAME,NICKNAME,TEAM_ID,TEAM_ABBREVIATION,TEAM_NAME,GAME_ID,GAME_DATE,MATCHUP,WL,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,PTS,PLUS_MINUS,NBA_FANTASY_PTS,DD2,TD3,WNBA_FANTASY_PTS,GP_RANK,W_RANK,L_RANK,W_PCT_RANK,MIN_RANK,FGM_RANK,FGA_RANK,FG_PCT_RANK,FG3M_RANK,FG3A_RANK,FG3_PCT_RANK,FTM_RANK,FTA_RANK,FT_PCT_RANK,OREB_RANK,DREB_RANK,REB_RANK,AST_RANK,TOV_RANK,STL_RANK,BLK_RANK,BLKA_RANK,PF_RANK,PFD_RANK,PTS_RANK,PLUS_MINUS_RANK,NBA_FANTASY_PTS_RANK,DD2_RANK,TD3_RANK,WNBA_FANTASY_PTS_RANK,AVAILABLE_FLAG,MIN_SEC
2024-25,1630169,Tyrese Haliburton,Tyrese,1610612754,IND,Indiana Pacers,0022400217,2024-11-13,IND @ ORL,L,39.54333333333334,3,14,0.214,2,8,0.25,1,1,1.0,0,1,1,11,4,0,0,1,1,3,9,5,22.7,0,0,23.0,1,33,33,33,3,45,25,49,31,25,37,29,32,1,26,42,48,11,3,40,26,40,13,15,45,27,48,17,1,48,1,39:33
2024-25,1630169,Tyrese Haliburton,Tyrese,1610612754,IND,Indiana Pacers,0022400203,2024-11-10,IND vs. NYK,W,35.18333333333333,11,18,0.611,4,10,0.4,9,11,0.818,0,2,2,14,2,2,0,0,1,7,35,12,62.4,1,0,59.0,1,1,1,1,21,4,7,8,9,7,26,1,1,29,26,30,36,2,14,9,26,1,13,1,1,17,3,1,1,3,1,35:11
2024-25,1630169,Tyrese Haliburton,Tyrese,1610612754,IND,Indiana Pacers,0022400184,2024-11-08,IND @ CHA,L,34.22,2,11,0.182,0,4,0.0,2,2,1.0,1,6,7,9,2,1,1,1,1,2,6,-21,31.9,0,0,26.0,1,33,33,33,31,48,39,51,49,48,49,21,23,1,6,1,2,18,14,23,10,40,13,25,49,48,37,17,1,43,1,34:13
2024-25,1630169,Tyrese Haliburton,Tyrese,1610612754,IND,Indiana Pacers,0022400170,2024-11-06,IND vs. ORL,W,36.653333333333336,6,11,0.545,3,5,0.6,2,2,1.0,0,3,3,4,1,1,0,1,4,2,17,6,28.6,0,0,29.0,1,1,1,1,15,26,39,11,24,46,3,21,23,1,26,22,26,50,29,23,26,40,52,25,28,26,43,17,1,41,1,36:39
2024-25,1630169,Tyrese Haliburton,Tyrese,1610612754,IND,Indiana Pacers,0022400165,2024-11-04,IND @ DAL,W,35.538333333333334,10,16,0.625,2,8,0.25,3,6,0.5,0,4,4,12,2,2,1,0,1,5,25,9,54.8,1,0,49.0,1,1,1,1,19,7,17,4,31,25,37,18,11,34,26,9,16,6,14,9,10,1,13,3,12,21,6,1,1,9,1,35:32
2024-25,1630169,Tyrese Haliburton,Tyrese,1610612754,IND,Indiana Pacers,0022400138,2024-11-01,IND @ NOP,L,33.4,2,8,0.25,1,6,0.167,6,6,1.0,1,1,2,11,2,0,0,0,2,3,11,-19,27.9,1,0,25.0,1,33,33,33,35,48,49,47,42,40,43,7,11,1,6,42,36,11,14,40,26,1,35,15,44,46,44,1,1,44,1,33:24
2024-25,1630169,Tyrese Haliburton,Tyrese,1610612754,IND,Indiana Pacers,0022400119,2024-10-30,IND vs. BOS,W,39.818333333333335,7,19,0.368,2,10,0.2,1,1,1.0,0,6,6,12,1,2,0,1,5,2,17,9,47.2,1,0,41.0,1,1,1,1,2,19,4,40,31,7,41,29,32,1,26,1,6,6,29,9,26,40,54,25,28,21,13,1,1,19,1,39:49
2024-25,1630169,Tyrese Haliburton,Tyrese,1610612754,IND,Indiana Pacers,0022400102,2024-10-28,IND @ ORL,L,35.04666666666667,6,15,0.4,4,9,0.444,3,4,0.75,3,6,9,10,1,1,0,0,1,2,19,3,46.8,1,0,44.0,1,33,33,33,22,26,19,34,9,12,16,18,18,31,1,1,1,14,29,23,26,1,13,25,21,30,14,1,1,15,1,35:03
2024-25,1630169,Tyrese Haliburton,Tyrese,1610612754,IND,Indiana Pacers,0022400097,2024-10-27,IND vs. PHI,L,37.29,8,18,0.444,4,9,0.444,2,5,0.4,1,3,4,2,3,0,1,2,2,2,22,-9,29.8,0,0,34.0,1,33,33,33,10,13,7,26,9,12,16,21,15,37,6,22,16,54,6,40,10,53,35,25,16,39,42,17,1,35,1,37:17
2024-25,1630169,Tyrese Haliburton,Tyrese,1610612754,IND,Indiana Pacers,0022400081,2024-10-25,IND @ NYK,L,25.85,0,8,0.0,0,7,0.0,0,0,0.0,0,1,1,5,1,1,0,0,2,0,0,-23,10.7,0,0,8.0,1,33,33,33,52,53,49,53,49,33,49,39,39,39,26,42,48,47,29,23,26,1,35,41,53,49,54,17,1,54,1,25:51
