Player,Stat Type,EV_over,EV_under
Kenrich Williams,Points,-0.999942981981003,1.8299489137966158
Kenrich Williams,Pts + Rebs + Asts,-0.9997771803470096,1.8298004498347291
Kenrich Williams,Rebounds,-0.9998548044945346,1.8298699574239436
Kenrich Williams,Assists,-0.9999967792894586,1.8299971237404362
Cade Cunningham,Points,-0.9999826407426372,1.8299844669851337
Cade Cunningham,Pts + Rebs + Asts,-0.9999802808980894,1.829982315201669
Cade Cunningham,1Q Points,-0.9999868322442126,1.829988200093776
Cade Cunningham,1Q Pts + Rebs + Asts,-0.9999794388646115,1.8299815994443271
Coby White,Points,-0.9999968177420123,1.8299971415425444
Coby White,Pts + Rebs + Asts,-0.9999982894630284,1.8299984747489226
Coby White,Rebounds,-0.9999229889721027,1.8299310207077362
Coby White,1Q Pts + Rebs + Asts,-0.9999998127776257,1.829999831841218
Josh Giddey,Points,-0.9998769890519906,1.8298898428997201
Josh Giddey,Pts + Rebs + Asts,-0.9998200930422172,1.8298388946638444
Josh Giddey,Assists,-0.9998135002184426,1.8298329905691209
Josh Giddey,Rebounds,-0.9999696294260503,1.8299728209862225
Dennis Schroder,Points,-0.9999638051631337,1.829967598633739
Dennis Schroder,Pts + Rebs + Asts,-0.9999767793426508,1.8299792274395623
Dennis Schroder,Rebounds,-0.9999065910061472,1.8299163401439729
Dennis Schroder,Assists,-0.9998578261284274,1.8298726600366355
Ayo Dosunmu,Points,-0.9999750859163032,1.82997771011007
Ayo Dosunmu,Pts + Rebs + Asts,-0.9999179375408858,1.829926482074734
Ayo Dosunmu,Assists,-0.9999254039456719,1.829933198013896
Ayo Dosunmu,1Q Points,-0.999985895913851,1.8299873591987126
Malik Beasley,Points,-0.9999035996806924,1.8299136515629653
Malik Beasley,Pts + Rebs + Asts,-0.9999932783477016,1.8299939547806845
Malik Beasley,Assists,-0.999903996258945,1.829913998127522
Malik Beasley,Rebounds,-0.9998551719155512,1.8298702904897801
Nikola Vucevic,Points,-0.9999854960244192,1.8299870111012024
Nikola Vucevic,Pts + Rebs + Asts,-0.9999567163398023,1.82996122046432
Nikola Vucevic,Assists,-0.99995371926816,1.8299585292230405
Nikola Vucevic,1Q Pts + Rebs + Asts,-0.9998085971994441,1.829828602127236
Tobias Harris,Points,-0.9999960466083848,1.8299964586092075
Tobias Harris,Pts + Rebs + Asts,-0.9999321974258055,1.829939276486839
Tobias Harris,Rebounds,-0.9996585601876723,1.8296941995873932
Tobias Harris,1Q Points,-0.9999385394039564,1.8299449829675725
Ausar Thompson,Points,-0.999951180642529,1.8299562946705556
Ausar Thompson,Pts + Rebs + Asts,-0.999995445245604,1.8299959357552416
Ausar Thompson,1Q Points,-0.9999952656502501,1.8299957711274875
Ausar Thompson,Assists,-0.9999939667723265,1.8299945994228166
